date,price
2008/5/9,62.25
2008/5/12,62.7
2008/5/13,63.9
2008/5/14,64.15
2008/5/15,65.05
2008/5/16,65.4
2008/5/19,65.65
2008/5/20,64
2008/5/21,63.4
2008/5/22,63.45
2008/5/23,62.45
2008/5/26,61.6
2008/5/27,62.2
2008/5/28,61.7
2008/5/29,62.3
2008/5/30,62.2
2008/5/31,62.2
2008/6/2,62.6
2008/6/3,61.6
2008/6/4,61.8
2008/6/5,62.7
2008/6/6,62.7
2008/6/9,61.15
2008/6/10,59.7
2008/6/11,59.9
2008/6/12,58.45
2008/6/13,58.8
2008/6/16,59.1
2008/6/17,59.5
2008/6/18,59.6
2008/6/19,58.45
2008/6/20,57.2
2008/6/23,57.35
2008/6/24,56.9
2008/6/25,57.5
2008/6/26,57.05
2008/6/27,55.25
2008/6/30,55
2008/7/1,54.9
2008/7/2,54.3
2008/7/3,54.2
2008/7/4,52.6
2008/7/7,53.55
2008/7/8,51.7
2008/7/9,51.45
2008/7/10,51.7
2008/7/11,52.9
2008/7/14,52.2
2008/7/15,49.9
2008/7/16,49.5
2008/7/17,52.2
2008/7/18,51
2008/7/21,53.75
2008/7/22,52.9
2008/7/23,54.3
2008/7/24,54.65
2008/7/25,53.9
2008/7/29,51.95
2008/7/30,52.55
2008/7/31,52.4
2008/8/1,52.4
2008/8/4,52.5
2008/8/5,51.4
2008/8/6,53.3
2008/8/7,53.05
2008/8/8,54.65
2008/8/11,55.6
2008/8/12,55.55
2008/8/13,55.35
2008/8/14,55.75
2008/8/15,54.4
2008/8/18,53.35
2008/8/19,52.9
2008/8/20,53.4
2008/8/21,52.55
2008/8/22,52.7
2008/8/25,53.7
2008/8/26,53.25
2008/8/27,54.1
2008/8/28,53.7
2008/8/29,53.65
2008/8/31,53.65
2008/9/1,51.45
2008/9/2,50.6
2008/9/3,50
2008/9/4,48.99
2008/9/5,48.58
2008/9/8,51.95
2008/9/9,49.65
2008/9/10,49.86
2008/9/11,48.37
2008/9/12,48.87
2008/9/15,46.55
2008/9/16,45
2008/9/17,45.91
2008/9/18,44.5
2008/9/19,47.61
2008/9/22,48.5
2008/9/23,48.76
2008/9/24,48.46
2008/9/25,47.7
2008/9/26,46.6
2008/9/30,44.6
2008/10/1,45.6
2008/10/2,44.55
2008/10/3,44.73
2008/10/6,42.7
2008/10/7,42.95
2008/10/8,40.19
2008/10/9,40.24
2008/10/13,38.84
2008/10/14,41.55
2008/10/15,40.57
2008/10/16,39.15
2008/10/17,38.02
2008/10/20,38.34
2008/10/21,38.12
2008/10/22,36.79
2008/10/23,35.51
2008/10/24,32.34
2008/10/27,30.1
2008/10/28,32.19
2008/10/29,32.19
2008/10/30,34.44
2008/10/31,36.54
2008/11/3,36.69
2008/11/4,36.64
2008/11/5,36.8
2008/11/6,34.23
2008/11/7,34.39
2008/11/10,34.05
2008/11/11,33.46
2008/11/12,33.46
2008/11/13,31.6
2008/11/14,32
2008/11/17,32.2
2008/11/18,30.9
2008/11/19,30.96
2008/11/20,29.5
2008/11/21,30.78
2008/11/24,29.96
2008/11/25,30.6
2008/11/26,30.95
2008/11/27,32.8
2008/11/28,32.13
2008/11/30,32.13
2008/12/1,32.5
2008/12/2,30.6
2008/12/3,30.5
2008/12/4,30.01
2008/12/5,30.18
2008/12/8,32.29
2008/12/9,32.29
2008/12/10,34.19
2008/12/11,33.8
2008/12/12,32
2008/12/15,33.51
2008/12/16,33.51
2008/12/17,33.67
2008/12/18,33.79
2008/12/19,33.82
2008/12/22,32.65
2008/12/23,31.75
2008/12/24,31.8
2008/12/25,31.83
2008/12/26,31.85
2008/12/29,31.8
2008/12/30,33.16
2008/12/31,32.87
2009/1/5,34.2
2009/1/6,34.18
2009/1/7,34.63
2009/1/8,32.43
2009/1/9,32.22
2009/1/10,32.01
2009/1/12,31.96
2009/1/13,32.66
2009/1/14,32.5
2009/1/15,31
2009/1/16,31.38
2009/1/17,31.4
2009/1/19,31.53
2009/1/20,30.7
2009/1/21,30.5
2009/1/31,30.5
2009/2/2,30.88
2009/2/3,31.47
2009/2/4,31.69
2009/2/5,31.43
2009/2/6,32.2
2009/2/9,32.5
2009/2/10,32.7
2009/2/11,33.25
2009/2/12,32.35
2009/2/13,33.28
2009/2/16,33.21
2009/2/17,32.44
2009/2/18,32.49
2009/2/19,32.92
2009/2/20,32.1
2009/2/23,32.44
2009/2/24,32.16
2009/2/25,32.74
2009/2/26,32.8
2009/2/27,33.05
2009/2/28,33.05
2009/3/2,31.93
2009/3/3,31.95
2009/3/4,32.75
2009/3/5,33.45
2009/3/6,33.67
2009/3/9,33.32
2009/3/10,33.48
2009/3/11,34.25
2009/3/12,34.05
2009/3/13,35
2009/3/16,35.53
2009/3/17,36.17
2009/3/18,36.1
2009/3/19,35.9
2009/3/20,35.42
2009/3/23,36.57
2009/3/24,37.45
2009/3/25,37.82
2009/3/26,38.1
2009/3/27,37.77
2009/3/30,36.29
2009/3/31,36.64
2009/4/1,37.29
2009/4/2,38.58
2009/4/3,38.6
2009/4/6,38.79
2009/4/7,38.8
2009/4/8,37.73
2009/4/9,39.28
2009/4/10,39.97
2009/4/13,40.18
2009/4/14,40.5
2009/4/15,40.25
2009/4/16,41.2
2009/4/17,39.88
2009/4/20,40.17
2009/4/21,40.78
2009/4/22,40.65
2009/4/23,40.46
2009/4/24,40.5
2009/4/27,39.52
2009/4/28,39.05
2009/4/29,39.4
2009/4/30,42.15
2009/5/4,45.1
2009/5/5,46.3
2009/5/6,46.4
2009/5/7,46.3
2009/5/8,45.83
2009/5/11,46.2
2009/5/12,44.6
2009/5/13,44.67
2009/5/14,43.65
2009/5/15,44.8
2009/5/18,45.06
2009/5/19,46.1
2009/5/20,46.3
2009/5/21,45.95
2009/5/22,45.78
2009/5/25,45.73
2009/5/26,45.6
2009/5/27,48
2009/5/31,48
2009/6/1,47.72
2009/6/2,47.85
2009/6/3,47.79
2009/6/4,46.7
2009/6/5,46.62
2009/6/6,46.9
2009/6/8,45.71
2009/6/9,44.45
2009/6/10,44.85
2009/6/11,45.25
2009/6/12,44.66
2009/6/15,43.04
2009/6/16,43.05
2009/6/17,42.97
2009/6/18,42.75
2009/6/19,43.25
2009/6/22,43.9
2009/6/23,42.85
2009/6/24,44.08
2009/6/25,44.58
2009/6/26,44.6
2009/6/29,44.28
2009/6/30,44.46
2009/7/1,45.45
2009/7/2,45.9
2009/7/3,45.8
2009/7/6,45.69
2009/7/7,46.19
2009/7/8,45.66
2009/7/9,46.5
2009/7/10,46.78
2009/7/13,45.3
2009/7/14,46.14
2009/7/15,47.05
2009/7/16,47.45
2009/7/17,47.87
2009/7/20,48.5
2009/7/21,48.4
2009/7/22,48.48
2009/7/23,48.51
2009/7/24,48.38
2009/7/27,48.83
2009/7/28,49.7
2009/7/29,49.35
2009/7/30,48.85
2009/7/31,49.02
2009/8/3,49.19
2009/8/4,48.65
2009/8/5,48.05
2009/8/6,48.14
2009/8/10,48.26
2009/8/11,48.42
2009/8/12,48.25
2009/8/13,49.36
2009/8/14,49.62
2009/8/17,48.66
2009/8/18,48.02
2009/8/19,47.86
2009/8/20,47.6
2009/8/21,47.18
2009/8/24,48.7
2009/8/25,48.33
2009/8/26,48
2009/8/27,47.75
2009/8/28,48.4
2009/8/31,48.45
2009/9/1,50.2
2009/9/2,50.2
2009/9/3,50.45
2009/9/4,51.05
2009/9/7,51.8
2009/9/8,52.5
2009/9/9,52.05
2009/9/10,52.85
2009/9/11,52.5
2009/9/14,51.85
2009/9/15,52.45
2009/9/16,53.2
2009/9/17,53.15
2009/9/18,53.3
2009/9/21,53.15
2009/9/22,52.95
2009/9/23,52.7
2009/9/24,52
2009/9/25,52.35
2009/9/28,51.8
2009/9/29,52.85
2009/9/30,53.3
2009/10/1,53.65
2009/10/2,52.7
2009/10/5,52.65
2009/10/6,53.6
2009/10/7,53.9
2009/10/8,53.05
2009/10/9,53.35
2009/10/12,53.6
2009/10/13,53.7
2009/10/14,54.35
2009/10/15,54.65
2009/10/16,54.65
2009/10/19,54.85
2009/10/20,54.9
2009/10/21,54.5
2009/10/22,53.7
2009/10/23,53.25
2009/10/26,53.5
2009/10/27,53.4
2009/10/28,52.55
2009/10/29,51.55
2009/10/30,51.65
2009/10/31,51.65
2009/11/2,51.35
2009/11/3,51
2009/11/4,51.95
2009/11/5,51.85
2009/11/6,52.25
2009/11/9,52.75
2009/11/10,53.15
2009/11/11,53.85
2009/11/12,53.8
2009/11/13,53.65
2009/11/16,54.55
2009/11/17,54.1
2009/11/18,54.15
2009/11/19,53.95
2009/11/20,53.45
2009/11/23,53.4
2009/11/24,53.65
2009/11/25,54
2009/11/26,53.85
2009/11/27,52.2
2009/11/30,52.7
2009/12/1,53.25
2009/12/2,53.4
2009/12/3,53.45
2009/12/4,53.1
2009/12/7,53.95
2009/12/8,53.7
2009/12/9,53.85
2009/12/10,53
2009/12/11,53.85
2009/12/14,53.9
2009/12/15,53.75
2009/12/16,53.2
2009/12/17,53.4
2009/12/18,53.25
2009/12/21,53.7
2009/12/22,54.15
2009/12/23,54.55
2009/12/24,55.1
2009/12/25,55.2
2009/12/28,55.6
2009/12/29,55.5
2009/12/30,55.7
2009/12/31,56.45
2010/1/4,56.5
2010/1/5,56.5
2010/1/6,57.55
2010/1/7,57.4
2010/1/8,57.75
2010/1/11,57.9
2010/1/12,57.6
2010/1/13,56.75
2010/1/14,57.45
2010/1/15,57.8
2010/1/18,57.5
2010/1/19,56.75
2010/1/20,56.4
2010/1/21,55.95
2010/1/22,54.4
2010/1/25,54.2
2010/1/26,52.95
2010/1/27,52.9
2010/1/28,54.05
2010/1/29,53
2010/1/31,53
2010/2/1,52.4
2010/2/2,51.85
2010/2/3,52.75
2010/2/4,52.55
